periods_left_min,periods_left_max,stop_num,outbound,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7.0,7.0,1,True,0.3380196153492094,0.3444745687131047,0.19889132061238612,0.10719132173547952,0.009984541243471853,0.0014386323463485243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,7.0,2,True,0.22512262797637256,0.4543300049096691,0.22724913521016543,0.08831279936508067,0.004985432538712168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,7.0,3,True,0.23417292620587712,0.6088350627847581,0.0821506599907416,0.07484135101862321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,1,True,0.29202566166515975,0.42959924889212187,0.1743509628686382,0.07933262236741397,0.008064785756283424,0.01662671845038271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,2,True,0.1954334563088629,0.3896256645729198,0.24041135249650666,0.12065944660428567,0.023970390931522086,0.02989968908590282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,3,True,0.2638113189196261,0.4861797682430949,0.09030069864273885,0.08365197239264081,0.07605624180189939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,1,True,0.3000065552933442,0.38574543484056917,0.14848146815553348,0.1249299226834368,0.03738355098255386,0.003453068044562672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,2,True,0.17640434601210295,0.4678518718549435,0.1603589149959096,0.10639453276541541,0.06358153937032973,0.004924479013773709,0.02048431598752528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,3,True,0.16137077831383306,0.5033597887884482,0.13935342249549823,0.1006933409394116,0.0,0.09522266946280898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,1,True,0.2420995787013384,0.41704042208792924,0.1524260983712484,0.12565482396741617,0.029815510734323123,0.022898449773909407,0.005647471811559075,0.004417644552276155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,2,True,0.22613830677830768,0.3068700382305295,0.18313916647504644,0.17816234852118498,0.067198564388759,0.03302727241707725,0.005464303189095068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,3,True,0.1727806994525644,0.33585523153123636,0.2906114456457229,0.13294442449378385,0.026603177255424527,0.0,0.04120502162126794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,11.0,1,True,0.22271027998271176,0.47302449860383244,0.10283360157195583,0.07232179925899992,0.061397119411123566,0.0398209083087258,0.017974479009884633,0.009917313852766275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,11.0,2,True,0.19366852711987168,0.41824458132891273,0.16204313273030352,0.12686415423641056,0.07244154502401585,0.01907325881964789,0.0,0.0,0.0,0.0076648007408377785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,11.0,3,True,0.09913501404734053,0.66045386542596,0.05423777364622361,0.04551660329522516,0.06902639887251023,0.03353815882065615,0.027213309145842402,0.010878876746242137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
